Samples0,Samples1,Samples2,Samples3,Conditions,DifferentiationA,DifferentiationB,DifferentiationC,FP,Fp,fP,fp,Fm1,P,FT,Ft,fT,ft,FTtip,Fm2,T,IC,Ic,iC,ic,I,C,CD45CD93,CD45cd93,cd45CD93,cd45cd93,CD45,CD93,CD45H,CD45M,PDGFRABRelax,PDGFRABNormal,PDGFRABStrict,PDGFRA,PDGFRB,CD71,CD41,CD41H,CD41MH,CD41CD71L,CD41CD71LA,CD41cD71,CD71cd41,CD41cd71
Samples0,Samples1,Samples2,Samples3,Conditions,DifferentiationA,DifferentiationB,DifferentiationC,Flk1+ Pdgfra+,Flk1+ Pdgfra-,Flk1- Pdgfra+ (Day4),Flk1- Pdgfra-,Flk1+ (I),Pdgfra+,Flk1+ Tek+,Flk1+ Tek-,Flk1- Tek+,Flk1- Tek-,Flk1+ Tek+ (I),Flk1+ (II),Tek+,Icam2+ Cdh5+,Icam2+ Cdh5-,Icam2- Cdh5+,Icam2- Cdh5-,Icam2+,Cdh5+,CD45+ CD93+,CD45+ CD93-,CD45- CD93+,CD45- CD93-,CD45+,CD93+,CD45+ (II),CD45+ (I),Pdgfra+ Pdgfrab+ (I),Pdgfra+ Pdgfrab+ (II),Pdgfra+ Pdgfrab+ (III),Pdgfra+ (Day7),Pdgfrb+,CD71+,CD41+,CD41+ (I),CD41+ (II),CD41+ CD71+ (L),CD41+ CD71+ (LA),CD41+ CD71,CD71+ CD41-,CD41+ CD71-
,,,,,,,,D4: Flk1/Pdgfra,D4: Flk1/Pdgfra,D4: Flk1/Pdgfra,D4: Flk1/Pdgfra,D4: Flk1/Pdgfra,D4: Flk1/Pdgfra,D4: Flk1/Tek,D4: Flk1/Tek,D4: Flk1/Tek,D4: Flk1/Tek,D4: Flk1/Tek,D4: Flk1/Tek,D4: Flk1/Tek,Day7: Icam2/Cdh5,Day7: Icam2/Cdh5,Day7: Icam2/Cdh5,Day7: Icam2/Cdh5,Day7: Icam2/Cdh5,Day7: Icam2/Cdh5,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: Pdgfra/Pdgfrb,Day7: Pdgfra/Pdgfrb,Day7: Pdgfra/Pdgfrb,Day7: Pdgfra/Pdgfrb,Day7: Pdgfra/Pdgfrb,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71
Zfp711_zG8,Zfp711 c1,Zfp711 KO Clone 1,Zfp711 KO c1,Zfp711 KO,Differentiation 2,diff. 2,Diff. 2,12.6,29.8,18.9,38.7,43.9,30.2,16,30.8,14.7,38.6,2.2,46.7,31.9,0.67,0.61,2.77,95.9,1.33,3.11,0.063,2.9,0.49,96.5,2.94,0.49,2.26,0.72,82.7,77,59.1,82.2,87.9,4.88,3.52,1.85,1.74,6.2,NA,1.82,4.05,NA
Zfp711_zD9,Zfp711 c2,Zfp711 KO Clone 2,Zfp711 KO c2,Zfp711 KO,Differentiation 2,diff. 2,Diff. 2,13.8,29,22.4,34.8,44.4,35,14.7,29.6,16.1,39.6,1.67,44.2,32.8,0.17,0.23,2.8,96.8,0.42,2.74,0.048,4,0.15,95.8,4.04,0.15,3.4,0.65,79.5,74.6,59,80.9,83.3,7.23,6.51,3.51,3.06,9.15,NA,3.31,5.34,NA
Zfp711_zD10,Zfp711 c3,Zfp711 KO Clone 3,Zfp711 KO c3,Zfp711 KO,Differentiation 2,diff. 2,Diff. 2,9.11,25.3,22,43.6,35.7,30,14.3,23.1,19.5,43.1,2.66,37.3,35.4,0.44,0.47,2.76,96.3,0.97,2.95,0.056,3.73,0.48,95.7,3.77,0.52,3.15,0.65,82.9,78.1,64,82.6,87.2,5.94,5.86,3.5,2.43,7.86,NA,3.24,4.13,NA
Zfp711_zB12,Zfp711 c4,Zfp711 KO Clone 4,Zfp711 KO c4,Zfp711 KO,Differentiation 2,diff. 2,Diff. 2,12.1,36.9,16.5,34.5,50.5,27.2,20.4,32.1,12.3,35.1,3.08,52.6,34.5,0.21,0.26,3.02,96.5,0.51,2.99,0.044,3.8,0.36,95.8,3.8,0.36,3.23,0.66,77.9,71.4,53.1,80.4,81.2,6.09,6.32,3.73,2.68,8.43,NA,3.48,4.48,NA
Atf3_aB5,Atf3 c1,Atf3 KO Clone 1,Atf3 KO c1,Atf3 KO,Differentiation 2,diff. 2,Diff. 2,7.54,22.2,28.6,41.7,31.1,35.2,16.3,20.9,19.3,43.5,3.08,37.2,37.2,0.44,0.27,1.75,97.5,0.74,1.92,0.25,2.16,0.36,97.2,2.4,0.57,1.97,0.44,85.2,81,67.8,85.2,88.8,4.67,4.2,2.28,2.03,6.27,NA,2.3,3.58,NA
Atf3_aC9,Atf3 c2,Atf3 KO Clone 2,Atf3 KO c2,Atf3 KO,Differentiation 2,diff. 2,Diff. 2,13.2,30.6,22.1,34.1,45.3,34.1,16.5,26.3,17.7,39.5,2.1,42.8,35.8,0.4,0.49,2.76,96.3,0.95,2.82,0.27,4.7,0.17,94.9,4.96,0.38,3.99,1.01,75.6,71.4,56.9,76.3,79.7,7.35,7.87,4.09,3.97,10.2,NA,4.15,5.3,NA
Atf3_aD4,Atf3 c3,Atf3 KO Clone 3,Atf3 KO c3,Atf3 KO,Differentiation 2,diff. 2,Diff. 2,9.37,24.1,22.7,43.8,35,31,11.2,19.4,20.3,49,1.17,30.7,33.1,0.25,0.28,2.4,97.1,0.57,2.4,0.32,3.49,0.25,95.9,3.74,0.53,2.82,0.98,84.3,81.2,70.2,84.9,86.2,4.64,4.08,1.95,2.21,6.02,NA,1.96,3.67,NA
Atf3_aD8,Atf3 c4,Atf3 KO Clone 4,Atf3 KO c4,Atf3 KO,Differentiation 2,diff. 2,Diff. 2,12.8,26.5,22.5,38.2,40.8,34.3,13.9,21.3,21.5,43.2,1.27,35.3,37.5,0.52,0.42,2.48,96.6,0.97,2.68,0.27,2.64,0.55,96.5,2.89,0.74,2.05,0.88,89,86,75.4,89,90.8,3.2,3.04,1.45,1.62,4.27,NA,1.47,2.48,NA
Bcl6b_bA12,Bcl6b c1,Bcl6b KO Clone 1,Bcl6b KO c1,Bcl6b KO,Differentiation 2,diff. 2,Diff. 2,27.4,38.4,13.4,20.8,67.3,39.4,23.8,42.9,6.54,26.8,1.18,66.7,31.6,1.5,0.85,3.9,93.7,2.48,4.91,0.21,8.76,1.33,89.7,8.93,1.46,7.1,1.91,64.4,58.1,36.5,62.9,69.7,10.7,17.9,9.13,8.96,19,NA,9.66,8.07,NA
Bcl6b_bB7,Bcl6b c2,Bcl6b KO Clone 2,Bcl6b KO c2,Bcl6b KO,Differentiation 2,diff. 2,Diff. 2,7.38,21.6,28.4,42.7,30.4,34.7,16.8,17.6,23.1,42.6,3.2,34.3,41.5,0.81,0.2,2.78,96.2,1.04,3.36,0.35,2.67,0.57,96.4,2.99,0.84,2.44,0.58,87.3,82.8,67.7,89.1,88.7,4.11,3.34,1.7,1.7,5.03,NA,1.59,3.11,NA
Bcl6b_bC8,Bcl6b c3,Bcl6b KO Clone 3,Bcl6b KO c3,Bcl6b KO,Differentiation 2,diff. 2,Diff. 2,11.5,26.7,21.9,39.9,39.7,32,15.3,25.8,17.3,41.7,2.2,41,34,0.63,0.29,3.84,95.2,0.97,4.18,0.1,3.27,0.43,96.2,3.3,0.51,2.33,1.04,84,80.4,67.6,84.7,86.5,4.31,4.25,2.16,2.15,5.83,NA,2.19,3.28,NA
